"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G42010100331",5.61600175843499,15.13353115727,80.7231563908122,"G4201010033100","G4201010033100","","4210133100"
"G42010100332",2.54433307632999,14.148033924441,83.8858905165767,"G4201010033200","G4201010033200","G4201010033200","4210133200"
"G42010100333",3.74300029472443,15.5614500442087,81.4618331859711,"G4201010033300","G4201010033300","G4201010033300","4210133300"
"G42010100334",6.02733040507565,21.4738897022938,77.5988286969253,"G4201010033400","G4201010033400","G4201010033400","4210133400"
"G42010100335",3.64705882352941,14.1764705882353,82.3823529411765,"G4201010033500","G4201010033500","G4201010033500","4210133500"
"G42010100336",9.55486711234306,19.8597749877711,78.5749225501386,"G4201010033600","G4201010033600","G4201010033600","4210133600"
"G42010100337",9.67133022429491,21.7743726404619,75.4385964912281,"G4201010033700","G4201010033700","","4210133700"
"G42010100338",10.0347921626076,20.8936092290789,76.7258743819813,"G4201010033800","G4201010033800","G4201010033800","4210133800"
"G42010100339",4.02200068752148,12.0660020625645,85.8714334822963,"G4201010033900","G4201010033900","G4201010033900","4210133900"
"G42010100340",1.48698884758364,6.11317637339942,92.028087567121,"G4201010034000","G4201010034000","G4201010034000","4210134000"
"G42010100341",6.29949604031678,15.190784737221,81.5154787616991,"G4201010034100","G4201010034100","G4201010034100","4210134100"
"G42010100342",7.53382533825338,17.0971709717097,81.2115621156212,"G4201010034200","G4201010034200","G4201010034200","4210134200"
"G42010100343",0,0,100,"G4201010034300","G4201010034300","","4210134300"
"G42010100344",4.53942129015131,8.86647199362888,90.0982213963366,"G4201010034400","G4201010034400","G4201010034400","4210134400"
"G42010100345",11.6394066184861,25.4089007227083,73.0315709395207,"G4201010034500","G4201010034500","","4210134500"
"G42010100346",17.0138888888889,33.8194444444444,60.9722222222222,"G4201010034600","G4201010034600","G4201010034600","4210134600"
"G42010100347",3.10486233157586,10.4081234133958,87.2290568248389,"G4201010034700","","","4210134700"
"G42010100348",4.64819050181622,16.0769541235033,82.6651419346159,"G4201010034800","","","4210134800"
"G42010100349",19.908597543559,31.6195372750643,66.0954013139103,"G4201010034900","G4201010034900","G4201010034900","4210134900"
"G42010100351",8.84261763115197,18.1179015684154,81.5575987020011,"G4201010035100","G4201010035100","G4201010035100","4210135100"
"G42010100352",5.76627932470949,15.8956369217277,81.8680114010086,"G4201010035200","G4201010035200","G4201010035200","4210135200"
"G42010100353",3.48510399100618,10.5583661232902,88.3548810192992,"G4201010035300","","","4210135300"
"G42010100355",9.39568345323741,18.8345323741007,78.1294964028777,"G4201010035500","G4201010035500","G4201010035500","4210135500"
"G42010100356",5.08162513808764,15.0484841045784,82.3125076715355,"G4201010035600","G4201010035600","","4210135600"
"G42010100357",16.1937716262976,31.7070357554787,65.916955017301,"G4201010035700","G4201010035700","","4210135700"
"G42010100358",8.55553737935547,14.1828889252413,84.9991820709962,"G4201010035800","G4201010035800","G4201010035800","4210135800"
"G42010100359",6.85735240190686,18.5368536853685,78.8778877887789,"G4201010035900","G4201010035900","G4201010035900","4210135900"
"G42010100360",2.72591486183719,12.0238984316654,86.8558625840179,"G4201010036000","G4201010036000","G4201010036000","4210136000"
"G42010100361",2.49629263470094,8.74938210578349,89.940682155215,"G4201010036100","G4201010036100","G4201010036100","4210136100"
"G42010100362",3.41232227488152,11.2851965430722,86.2336214106496,"G4201010036200","","","4210136200"
"G42010100363",4.26860346585117,11.079255861366,87.1368501529052,"G4201010036300","","","4210136300"
"G42010100364",65.7142857142857,82.8571428571428,17.1428571428571,"G4201010036400","G4201010036400","G4201010036400","4210136400"
"G42010100365",7.84573002754821,15.9118457300275,82.8209366391185,"G4201010036500","G4201010036500","","4210136500"
"G42010100366",8.18858560794045,10.6699751861042,89.3300248138958,"G4201010036600","G4201010036600","G4201010036600","4210136600"
