GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
42017106000,256.2941006659141,0.16805522494644132,0.11935330480266286,706,502,4201
42017106100,305.5780061740419,0.1832437275985663,0.10674157303370786,409,304,2232
42017106200,284.40549803156097,0.20247643168706908,0.13496503496503495,1439,965,7107
42017106300,299.2618377785959,0.09791266135677011,0.12052161976664379,713,878,7282
42017106401,251.04545368941666,0.17694978632478633,0.1228678038379531,1325,922,7488
42017106402,257.0947417301255,0.1336505778382053,0.05960353603000268,983,445,7355
42017106500,181.12280074828217,0.1749437359339835,0.037380426784400296,1166,254,6665
42017106600,312.5168953972079,0.13303437967115098,0.04932735426008968,267,99,2007
42017980000,NA,NaN,NaN,0,0,0
42029300101,459.9238113303629,0.045771144278606964,0.10912106135986734,138,329,3015
42029300103,307.17928830246484,0.15414507772020725,0.1883061049011178,357,438,2316
42029300104,396.4952470211659,0.047056426970869834,0.12405785292320227,231,609,4909
42029300106,274.3530046697948,0.06995614035087719,0.2,319,912,4560
42029300107,583.1335751006826,0.012607985057202896,0.1365865047863647,54,585,4283
42029300108,414.1983105520638,0.14756838905775077,0.18169440242057489,971,1201,6580
42029300109,553.331935488367,0.09863672814755413,0.10318096765570703,369,386,3741
42029300201,399.78677139625745,0.10935309433206489,0.10949764521193092,546,558,4993
42029300202,683.9253890730812,0.07012025901942645,0.0992619926199262,379,538,5405
42029300301,354.23919085444976,0.09176821686147725,0.09798557572743098,369,394,4021
42029300302,441.4201067352535,0.09611940298507463,0.02315914489311164,322,78,3350
42029300303,284.1386176768238,0.10691399662731872,0.11789137380191693,317,369,2965
42029300400,318.65514355616244,0.15246338215712382,0.14380384360503645,458,434,3004
42029300501,427.8092086436586,0.05853994490358127,0.06943809958885336,255,304,4356
42029300502,264.4784315445201,0.09224206878165822,0.1375609756097561,346,564,3751
42029300600,206.29851421182045,0.1698989898989899,0.26226870474658087,841,1304,4950
42029300700,167.60086277493303,0.36240017267429314,0.2221023095186704,1679,1029,4633
42029300800,184.5922453598652,0.1921387283236994,0.19167630057803467,831,829,4325
42029300900,202.02842853602596,0.18710757639179573,0.1876,447,469,2389
42029301000,253.00257629082245,0.1056100981767181,0.043899018232819075,753,313,7130
42029301100,150.3425998352637,0.20972097209720972,0.0738073807380738,699,246,3333
42029301300,247.66496919607937,0.11618900077459333,0.0884982573117139,750,584,6455
42029301401,198.20314345146008,0.22859356838434716,0.13521890740023246,590,349,2581
42029301402,240.9929603276505,0.12545212259661145,0.0788233075617575,659,418,5253
42029301500,267.41411544662884,0.11871069182389937,0.015122140364482357,302,39,2544
42029301600,272.48484218663475,0.10123064708217547,0.023025009924573243,255,58,2519
42029301700,385.82003283167967,0.1223529411764706,0.04756446991404011,208,83,1700
42029301800,479.2281569896838,0.1690450054884742,0.057692307692307696,770,264,4555
42029301900,442.843468627185,0.064692709629261,0.06332257263471566,260,255,4019
42029302000,420.87031942049265,0.04855311711011847,0.1892660387417807,250,1065,5149
42029302101,352.9937491990097,0.13697302535939268,0.27378452592472946,848,1695,6191
42029302102,301.39688061649315,0.16219119226638024,0.15789473684210525,604,696,3724
42029302202,327.1063547895057,0.11466306468557706,0.21003134796238246,764,1407,6663
42029302203,287.16326169717826,0.042817423540315105,0.22131603336422614,231,1194,5395
42029302204,256.47202090240546,0.12105349255684607,0.21931524547803619,740,1358,6113
42029302300,323.54795005967696,0.3104247104247104,0.12871287128712872,804,351,2590
42029302400,235.83327346939888,0.3924050632911392,0.45109321058688145,1705,1960,4345
42029302500,311.18249362352213,0.27125398512221044,0.13166976373772232,1021,496,3764
42029302600,207.9887564584891,0.713813615333774,0.4105240269623831,3240,1888,4539
42029302702,263.23298988908005,0.23913978494623656,0.2834897610921502,1112,1329,4650
42029302703,384.4856310579939,0.08185899128597834,0.03350039567396465,310,127,3787
42029302704,333.0666827119688,0.07684570508951921,0.07378367511057499,382,367,4971
42029302705,330.30891904635155,0.11699623352165725,0.19089673913043478,497,843,4248
42029302706,324.34859112388847,0.25461340808222377,0.06330296659658959,1090,271,4281
42029302802,443.1103489819222,0.03530869295890977,0.021869197441716524,171,106,4843
42029302803,281.7366944841894,0.1521402784940691,0.04177411036616813,295,81,1939
42029302804,533.6717493560633,0.13115590711916306,0.055286624203821653,514,217,3919
42029302805,199.00378451567153,0.18547182620502375,0.17936184657162255,1366,1321,7365
42029302901,348.01198257724946,0.06805827353772559,0.0560625814863103,313,258,4599
42029302902,369.006570483239,0.062339331619537273,0.07597371373617567,388,474,6224
42029303000,390.97971968993136,0.03761436801084378,0.1862842070557204,111,565,2951
42029303100,511.34275967638797,0.061611374407582936,0.10924170616113744,260,461,4220
42029303301,361.5339205505986,0.10456140350877192,0.14140350877192984,298,403,2850
42029303302,394.2712440650229,0.060941828254847646,0.02818086225026288,286,134,4693
42029303401,193.13241671145414,0.26166068682726806,0.6227912932138284,1021,2432,3902
42029303402,218.30813017499239,0.3837482386096759,0.6435551419264774,817,1383,2129
42029303501,373.72145675026206,0.10707070707070707,0.05466860183841316,424,226,3960
42029303502,388.1329959060684,0.08853615520282188,0.14728148657949072,251,428,2835
42029303801,299.7066383698245,0.10814249363867684,0.07839294463498285,425,320,3930
42029303802,290.18790571753266,0.050564555719194895,0.13694774201444132,412,1119,8148
42029303901,448.71483643140243,0.10681198910081743,0.09976092153879591,392,459,3670
42029303902,384.75251141273105,0.11948737278552582,0.08599141951128521,634,461,5306
42029304000,294.81383186631,0.148077735530207,0.22,701,1045,4734
42029304101,201.31674759006023,0.25832047608551906,0.24040139616055847,1172,1102,4537
42029304102,196.4239410865457,0.2528553299492386,0.15604329524954902,797,519,3152
42029304201,199.62650534339159,0.13357400722021662,0.24476534296028882,925,1695,6925
42029304300,317.9434626101967,0.060473906091001596,0.045210059601686295,416,311,6879
42029304403,236.4559942971189,0.09877944933295486,0.06585296622196991,348,232,3523
